大枣,甘遂,芫花,大戟,,,,,,,,,,,,,,,,,,,,,
文蛤,麻黄,甘草,生姜,石膏,杏仁,大枣,,,,,,,,,,,,,,,,,,
半夏,干姜,,,,,,,,,,,,,,,,,,,,,,,
半夏,生姜汁,,,,,,,,,,,,,,,,,,,,,,,
橘皮,生姜,,,,,,,,,,,,,,,,,,,,,,,
橘皮,竹茹,大枣,生姜,甘草,人参,,,,,,,,,,,,,,,,,,,
大黄,厚朴,枳实,,,,,,,,,,,,,,,,,,,,,,
赤石脂,干姜,粳米,,,,,,,,,,,,,,,,,,,,,,
白头翁,黄连,黄柏,秦皮,,,,,,,,,,,,,,,,,,,,,
栀子,香豉,,,,,,,,,,,,,,,,,,,,,,,
附子,干姜,甘草,,,,,,,,,,,,,,,,,,,,,,
紫参,甘草,,,,,,,,,,,,,,,,,,,,,,,
黄芩,人参,干姜,桂枝,大枣,半夏,,,,,,,,,,,,,,,,,,,
薏苡仁,附子,败酱,,,,,,,,,,,,,,,,,,,,,,
大黄,牡丹,桃仁,瓜子,芒硝,,,,,,,,,,,,,,,,,,,,
王不留行,蒴翟细叶,桑东南根（白皮）,甘草,川椒,黄芩,干姜,芍药,厚朴,,,,,,,,,,,,,,,,
枳实,芍药,桔梗,鸡子黄,,,,,,,,,,,,,,,,,,,,,
甘草,桔梗,生姜,大枣,,,,,,,,,,,,,,,,,,,,,
蜘蛛,桂枝,,,,,,,,,,,,,,,,,,,,,,,
甘草,粉,蜜,,,,,,,,,,,,,,,,,,,,,,
乌梅,细辛,干姜,黄连,当归,附子,川椒,桂枝,人参,黄柏,,,,,,,,,,,,,,,
桂枝,茯苓,牡丹,桃仁,芍药,,,,,,,,,,,,,,,,,,,,
川芎,阿胶,甘草,艾叶,当归,芍药,干地黄,,,,,,,,,,,,,,,,,,
当归,芍药,茯苓,白术,泽泻,川芎,,,,,,,,,,,,,,,,,,,
干姜,人参,半夏,,,,,,,,,,,,,,,,,,,,,,
当归,贝母,苦参,,,,,,,,,,,,,,,,,,,,,,
葵子,茯苓,,,,,,,,,,,,,,,,,,,,,,,
当归,黄芩,芍药,川芎,白术,,,,,,,,,,,,,,,,,,,,
